,recon2,BC01_08,BC01_49,BC01_53,BC01_69,BC02_66,BC03_26,BC03_78,BC03LN_50,BC03LN_64,BC03LN_87,BC04_20,BC04_62,BC05_46,BC05_53,BC07_30,BC07_35,BC07_57,BC07LN_41,BC07LN_62,BC09_Re_95
13DAMPPOX,999.9999999999932,,,999.9999999999993,999.9999999999989,,,,,,,1000.0,,,,,1000.0000000000005,,999.9999999999986,,
1a_24_25VITD2Hm,0.0,,,,,,,,,,,,,,,,,,,,
1a_24_25VITD3Hm,0.0,,,,,,,,,,,,,,,,,,,,
1a_25VITD2Hm,0.0,,,,,,,,,,,,,,,,,,,,
1a_25VITD3Hm,0.0,,,,,,,,,,,,,,,,,,,,
1PPDCRp,1000.0000000000001,,,,,,,,,,,,,,,,,,,,
24_25VITD2Hm,0.0,,,,,,,,,,,,,,,,,,,,
24_25VITD3Hm,0.0,,,,,,,,,,,,,,,,,,,,
25VITD2Hm,0.0,,,,,,,,,,,,,,,,,,,,
25VITD3Hm,0.0,,,,,,,,,,,,,,,,,,,,
2AMACHYD,1000.0,,,250.0,,,,1000.0,,1000.0,,,,,,,,1000.0,,,
2AMACSULT,999.9999999999981,,,,,,,,,1000.0000000000002,,,,,,,,,,,
2DR1PP,1000.0,,,,909.0909090909106,,,,,,,1000.0,,1000.0,1000.0,,,,,,
2HBO,1000.0,0.0,0.0,1000.0000000000013,0.0,,0.0,0.0,0.0,0.0,,0.0,,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
2OXOADOXm,1000.0,,,,,,,,,,,1000.0000000000009,,,,,,,,,
34DHOXPEGOX,999.9999999999973,0.0,,,,,0.0,,,,,,,,,,,,,,0.0
34DHPHAMT,0.0,,,,,,,,,,,,,,,,,,,,
34DHPLACOX,0.0,,,,,,,,,,,,,,,,,,,,
34DHPLACOX_NADP_,0.0,,,,,,,,,,,,,,,,,,,,
34DHXMANDACOX,0.0,,,,,,,,,,,,,,,,,,,,
34DHXMANDACOX_NADP_,0.0,,,,,,,,,,,,,,,,,,,,
34HPLFM,100.00000000000088,,,,,,,,,,,,,,,60.000000000000014,,47.174701918092225,,,
34HPPOR,999.9999999999993,999.9999999999995,,,,,,,,,,,,,,,999.9999999999992,1000.0,1000.0,,
3AIBTm,999.999999999994,,,,,,,,,,,,,,,,,,,,
3DPHBH1,100.00000000000028,,,,,,,,,,,,,,,60.000000000000014,,47.17470191809224,,,
3DPHBH2,100.0,,,,,,,,,,,,,,,,,,,,
3DSPHR,1000.0,,,,,,,,,,,,,,,,,,,,
3HAO,1000.0,,,1000.0,,,,,,,,1000.0,,,,,,,1000.0000000000005,,
3HBCDm,1000.0000000000166,999.9999999999999,,,,,,,,,,,,,,,1000.000000000002,,,,
3HBCOAHLm,1000.0000000000001,,,,,,727.2727272727284,,0.0,,,,,,,,,,,,1000.0
3HKYNAKGAT,999.9999999999815,,,,,,,,,,,,,,,,,,,,
3HLYTCL,1000.0,,,,,,,,,,,,,,,,,,,,
3HPCOAHYD,0.0,,,,,,,,,,,,,,,,,,,,
3HPPD,0.0,,,,,,,,,,,,,,,,,,,,
3HXKYNDCL,0.0,,,,,,,,,,,,,,,,,,,,
3HXKYNOXDA,0.0,,,,,,,,,,,,,,,,,,,,
3M4HDXPAC,0.0,,,,,,,,,,,,,,,,,,,,
3MOX4HOXPGALDOX,0.0,,,,,,,,,,,,,,,,,,,,
3MOX4HOXPGALDOX_NADP_,0.0,,,,,,,,,,,,,,,,,,,,
3MOXTYROX,0.0,,,,,,,,,,,,,,,,,,,,
3NTD7l,0.0,,,,,,,,,,,,,,,,,,,,
3SALACBOXL,1000.0,1000.0,,1000.0,999.9999999999997,,,,,,,,,,,,,,,,
3SALAOX,500.0,500.0,,500.0,500.0,,,,,,,,,,,,,,,,
3SALATAi,1000.0,,,,,,,,,766.6699980503369,,,,,,,,,,,
3SALATAim,1000.0000000000497,,,,,,,,0.0,,,,,,,,,,,,
3SPYRSP,1000.0,,,,,,,,,766.6699980503369,,,,,,,,,,,
3SPYRSPm,1000.0000000000016,,,,,,,,0.0,,,,,,,,,,,,
41R1H2MAE12BOOX,999.9999999999982,,,,,,,,,,,,,,,,,,,,
41R2A1H12BOOX,1000.0,,,,,,,,,,,,,,,,,,,,
